system:index,latitude,longitude,occurrence,point_id,.geo
159_0,41.32874636072263,2.0868313207738254,0,112.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0868313207738254,41.32874636072263]}"
160_0,41.3284768661374,2.1461201295257126,0,113.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1461201295257126,41.3284768661374]}"
162_0,41.426572895163254,2.166062728833168,0,114.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.166062728833168,41.426572895163254]}"
163_0,41.43950863525457,2.1062349309108015,0,115.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1062349309108015,41.43950863525457]}"
164_0,41.41175069297528,2.1757645339016563,0,116.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1757645339016563,41.41175069297528]}"
166_0,41.498527949421224,2.2571518986428885,0,117.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2571518986428885,41.498527949421224]}"
168_0,41.44166459193646,2.1485455807928417,0,118.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1485455807928417,41.44166459193646]}"
169_0,41.383184266940276,2.195437638623872,0,119.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.195437638623872,41.383184266940276]}"
170_0,41.416062606339054,2.082249912824807,0,120.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.082249912824807,41.416062606339054]}"
173_0,41.424416938481365,2.1356098407015054,0,121.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1356098407015054,41.424416938481365]}"
174_0,41.45460033202778,2.1595948587875,0,122.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1595948587875,41.45460033202778]}"
175_0,41.494485530642685,2.190047746919163,0,123.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.190047746919163,41.494485530642685]}"
177_0,41.40582181210009,2.2040614653514297,0,124.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2040614653514297,41.40582181210009]}"
178_0,41.43816116232839,2.0908737395523644,0,125.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0908737395523644,41.43816116232839]}"
179_0,41.331171811989755,2.0895262666261942,0,126.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0895262666261942,41.331171811989755]}"
180_0,41.492868563131275,2.020266158220579,0,127.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.020266158220579,41.492868563131275]}"
182_0,41.31985303940985,2.1202486493430683,0,128.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1202486493430683,41.31985303940985]}"
183_0,41.42118300345853,2.2250820429998157,0,129.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2250820429998157,41.42118300345853]}"
184_0,41.49367704688698,2.2584993715690587,0,130.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2584993715690587,41.49367704688698]}"
185_0,41.48154979055136,2.1520490104009014,0,131.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1520490104009014,41.48154979055136]}"
187_0,41.476159898846646,2.1388437757243537,0,132.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1388437757243537,41.476159898846646]}"
188_0,41.45837325622108,2.1062349309108015,0,133.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1062349309108015,41.45837325622108]}"
189_0,41.38857415864499,2.085753342432895,0,134.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.085753342432895,41.38857415864499]}"
190_0,41.422260981799475,2.0493715734260434,0,135.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0493715734260434,41.422260981799475]}"
191_0,41.49125159561986,2.0458681438179838,0,136.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0458681438179838,41.49125159561986]}"
192_0,41.376985891479855,2.074704064438208,0,137.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.074704064438208,41.376985891479855]}"
195_0,41.31634960980178,2.142616699917653,0,138.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.142616699917653,41.31634960980178]}"
196_0,41.445168021544525,2.0450596600622646,0,139.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0450596600622646,41.445168021544525]}"
198_0,41.482088779721835,2.1771120068278265,0,140.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1771120068278265,41.482088779721835]}"
200_0,41.34518553042202,2.1447726565995424,0,141.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1447726565995424,41.34518553042202]}"
203_0,41.32901585530787,2.151510021230422,0,142.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.151510021230422,41.32901585530787]}"
204_0,41.492599068546035,2.1086603821779306,0,143.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1086603821779306,41.492599068546035]}"
205_0,41.36512812972948,2.0623073135173513,0,144.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0623073135173513,41.36512812972948]}"
206_0,41.48074130679566,2.043981681721334,0,145.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.043981681721334,41.48074130679566]}"
208_0,41.38992163157118,2.1989410682319317,0,146.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1989410682319317,41.38992163157118]}"
